utility_payment_consistency,rent_payment_consistency,avg_payment_delay_days,failed_payment_frequency,avg_monthly_income,income_volatility,income_consistency,income_trend,transaction_success_rate,spending_volatility,recurring_payment_count,essential_spending_ratio,avg_monthly_transactions,mobile_recharge_regularity,digital_transaction_consistency,months_of_digital_activity,creditworthy
0.7957962893885334,0.4764883013430909,0.6741513864548951,0.8094942629171353,9580.62797847762,0.4176436160578966,0.9723595464334888,-0.5986917466064369,0.9128779966760678,0.7429984935385832,5.0,0.41774431342829743,29.839634157876738,0.7721496514191377,0.38841553927522526,10.78711219494366,0
0.7514379330856781,0.7231774821023343,13.488943950214942,0.3903272506014169,103885.30288291797,0.14808225589858234,0.932832869134057,0.12326555958890531,0.8437614241808854,0.1319385980388818,3.0,0.7604562303283654,38.420274360624184,0.9448303048901983,0.6587796980878143,60.0,1
0.7579549828791108,0.6928073148239454,4.643714865472549,0.39553876063928445,11260.493988225488,0.6751689134126826,0.876938695221408,0.012567918364829886,0.9259300106831359,0.9606943061198125,3.0,0.8430672645034363,109.30852451438504,0.9281903196331993,0.9260902272422887,31.6299492810791,1
0.6012566391295915,0.6820468556612228,5.386554779734102,3.4750251319819845,57505.80202800701,0.11096764477014906,0.5452103836941851,-0.12028035278690266,0.8954231842337426,0.028202212806277407,6.0,0.6210978304630345,69.41968234951696,0.626896744076467,0.7412017610607432,4.372437782837838,0
0.9602002890154153,0.5137134919004795,2.569097758271561,2.692897814892663,43483.00054223171,0.18188392410144158,0.7901199558732418,-0.17906513840522378,0.779471274547729,0.8837504662919897,4.0,0.9025567765665528,6.971682106141658,0.479993248440851,0.8619030354152436,5.918798546460872,0
0.5709579665930622,0.9335300609079574,11.983429077751232,1.2095775797859525,20555.908495103897,0.13953174170429286,0.9239487035633596,0.09721604683505677,0.7660300753422987,0.16820304957361049,1.0,0.3469578192031721,22.6205159419236,0.7644277591559592,0.8998939777023911,1.5690916591377773,1
0.8607410143940987,0.6789832442402502,5.079595339268406,1.4361019661702286,35272.19063855955,0.8287538162900948,0.6457908754805745,0.009788869071308506,0.9192436849997399,0.34953659172012164,6.0,0.4321129361054754,27.095065656353302,0.7868929683446861,0.7469282758075495,20.387783478390567,0
0.6641156793587346,0.5965422502599608,7.330366024387256,0.9646098199428228,133300.8755310643,0.14925538992663126,0.7844201691781294,-0.05675061084502378,0.848949394669759,0.3307798774755734,5.0,0.7311500138896718,41.2087280631139,0.7934366817603131,0.624840901616108,6.85992846456118,0
0.7256660469967509,0.6444226601205097,2.2987813187187447,0.745548147220179,42705.03226876966,0.06647933872570186,0.9090945206617925,-0.41948785399574984,0.8984000825813041,0.2590924703661911,9.0,0.6660572310349339,31.668927986071733,0.9319430584261676,0.79509396586661,13.844777058381876,1
0.878709207150594,0.7181180997036966,16.09586444732828,3.7060952804849667,22435.477728581194,0.6754039311285671,0.955525689553276,-0.5472447271241997,0.8662392511307825,0.33300913653355413,6.0,0.5557373397824458,22.952730047198504,0.6152566962510947,0.7635021012308043,26.309364832483467,0
0.925811606062598,0.8383610511426611,8.586822202948003,0.20134780574475653,27749.947662333783,0.09298987147559623,0.9409580546247762,-0.01540659007822616,0.881708411176798,0.1680107262484347,3.0,0.81186296434035,21.92509829879932,0.6878425679417562,0.7813898146893079,32.54584859113995,1
0.548064565409993,0.8488729741421323,9.618978632550595,0.813079208988924,17150.405393892324,0.3519142502084718,0.6122228741059533,-0.060838441798612114,0.8123534796717061,0.7726333156832372,1.0,0.6821813405981688,12.092220480217877,0.8366555997748442,0.8630216864378069,7.0844850510343065,0
0.7726722237419349,0.8752317038545097,0.9448838730995657,0.6336771362338801,28312.963454710938,0.191004690985355,0.7144045838339383,0.021185255889268922,0.7038937973859778,0.1494451238695557,4.0,0.8613526915172992,16.342330477092283,0.9713142353518144,0.5783029414413172,4.874776915651807,1
0.7717819684851042,0.9662431162925239,1.5801553946727787,1.0341831658731655,50265.87290647108,0.06942550176012867,0.8554634146712318,0.05655128084419651,0.7988560857084648,0.610253311752202,3.0,0.5508612888699327,59.6468968244052,0.7496233559042065,0.8324728739699522,33.97337578987044,1
0.5210928882962691,0.8150054084329047,1.681747418563337,0.9177154647556569,8587.293193593641,0.34424211391879067,0.8996405046761262,-0.10900093675312714,0.9112533727728459,0.5861819543284572,7.0,0.46889242098878,15.898754177812963,0.9304793833162435,0.6769563890206995,8.641576810126443,1
